DAILY_STRESS,SOCIAL_NETWORK,ACHIEVEMENT,BMI_RANGE,TODO_COMPLETED,DAILY_STEPS,SLEEP_HOURS,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_HOBBY,WEEKLY_MEDITATION,AGE,GENDER,WORK_LIFE_BALANCE_SCORE
2,5,2,1,6,5,7,1,4,0,5,36 to 50,Female,609.5
3,10,5,2,5,5,8,2,3,2,6,36 to 50,Female,655.6
3,10,3,2,2,4,8,2,4,8,3,36 to 50,Female,631.6
3,7,2,2,3,5,5,1,5,2,0,51 or more,Female,622.7
1,4,2,2,5,5,7,2,8,1,5,51 or more,Female,663.9
2,10,2,1,6,7,8,2,10,8,3,51 or more,Female,722.3
2,10,3,2,8,7,7,2,10,8,10,51 or more,Male,727.2
4,7,4,1,8,8,6,2,8,2,2,21 to 35,Female,676.2
3,3,5,1,10,1,10,2,10,3,10,21 to 35,Female,702.8
4,10,0,2,3,3,6,1,3,8,1,51 or more,Female,634.4
4,1,3,2,2,7,8,2,3,0,6,36 to 50,Female,610.1
4,2,1,1,2,8,7,2,4,1,7,21 to 35,Male,618.6
2,8,3,2,7,6,8,2,5,2,7,21 to 35,Male,686.4
3,6,6,1,8,7,6,2,5,6,5,36 to 50,Female,689.6
3,5,3,1,8,2,8,1,4,5,4,21 to 35,Female,639.7
3,10,2,1,7,8,6,2,8,3,10,51 or more,Female,720.4
2,10,4,1,8,1,8,2,3,3,3,21 to 35,Male,673.5
2,10,0,1,7,10,8,2,4,8,6,21 to 35,Male,707.6
3,5,6,1,6,8,9,2,5,4,7,36 to 50,Female,727.8
1,6,3,2,8,1,8,2,5,1,2,36 to 50,Male,687.1
4,5,1,1,8,4,4,2,3,2,5,21 to 35,Male,652.9
5,3,2,2,10,3,7,2,10,10,10,21 to 35,Female,668.6
2,10,6,2,4,3,7,2,10,6,8,36 to 50,Male,709.4
2,10,10,1,10,7,7,2,10,5,7,36 to 50,Male,752.7
4,5,6,2,6,7,6,2,1,3,10,36 to 50,Female,677.7
5,5,3,1,2,8,7,2,5,1,1,21 to 35,Male,633.9
4,3,1,1,1,8,7,2,2,1,1,21 to 35,Male,628.8
4,7,8,1,6,5,7,2,10,2,2,21 to 35,Female,692.8
4,10,3,1,4,10,6,1,7,2,8,36 to 50,Female,673.2
2,2,3,1,7,4,7,2,10,1,7,Less than 20,Female,673.9
3,5,3,1,7,10,7,1,10,5,10,21 to 35,Male,712.5
1,10,4,1,5,3,8,2,10,4,1,36 to 50,Female,692.6
5,8,1,2,4,1,6,2,3,2,1,36 to 50,Female,574.5
3,3,2,1,2,5,8,1,4,3,7,51 or more,Female,630.1
2,8,10,1,10,10,7,2,10,4,10,21 to 35,Male,746.5
